study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
1,journalArticle,2023,"Lucon-Xiccato, Tyrone; De Russi, Gaia; Cannicci, Stefano; Maggi, Elena; Bertolucci, Cristiano",Embryonic exposure to artificial light at night impairs learning abilities and their covariance with behavioural traits in teleost fish,WOS,Biology Letters,10.1098/rsbl.2023.0436,"The natural light cycle has profound effects on animals' cognitive systems. Its alteration owing to human activities, such as artificial light at night (ALAN), affects the biodiversity of mammalian and avian species by impairing their cognitive functions. The impact of ALAN on cognition, however, has not been investigated in aquatic species, in spite of the common occurrence of this pollution along water bodies. We exposed eggs of a teleost fish (the zebrafish Danio rerio ) to ALAN and, upon hatching, we measured larvae’ cognitive abilities with a habituation learning paradigm. Both control and ALAN-exposed larvae showed habituation learning, but the latter learned significantly slower, suggesting that under ALAN conditions, fish require many more events to acquire ecologically relevant information. We also found that individuals' learning performance significantly covaried with two behavioural traits in the control zebrafish, but ALAN disrupted one of these relationships. Additionally, ALAN resulted in an average increase in larval activity. Our results showed that both fish's cognitive abilities and related individual differences are negatively impacted by light pollution, even after a short exposure in the embryonic stage.",en,italy,0.241,0.041616,85,90,NA,NA,NA,NA,0,1.5,96,white led,8,24,mm,mm,,V,LRR,NA,NA,Danio rerio,embryo,larvae,activity,,,mixed,lab,lab,27,AW,day,,,,,,,,,,,,
1,journalArticle,2023,"Lucon-Xiccato, Tyrone; De Russi, Gaia; Cannicci, Stefano; Maggi, Elena; Bertolucci, Cristiano",Embryonic exposure to artificial light at night impairs learning abilities and their covariance with behavioural traits in teleost fish,WOS,Biology Letters,10.1098/rsbl.2023.0436,"The natural light cycle has profound effects on animals' cognitive systems. Its alteration owing to human activities, such as artificial light at night (ALAN), affects the biodiversity of mammalian and avian species by impairing their cognitive functions. The impact of ALAN on cognition, however, has not been investigated in aquatic species, in spite of the common occurrence of this pollution along water bodies. We exposed eggs of a teleost fish (the zebrafish Danio rerio ) to ALAN and, upon hatching, we measured larvae’ cognitive abilities with a habituation learning paradigm. Both control and ALAN-exposed larvae showed habituation learning, but the latter learned significantly slower, suggesting that under ALAN conditions, fish require many more events to acquire ecologically relevant information. We also found that individuals' learning performance significantly covaried with two behavioural traits in the control zebrafish, but ALAN disrupted one of these relationships. Additionally, ALAN resulted in an average increase in larval activity. Our results showed that both fish's cognitive abilities and related individual differences are negatively impacted by light pollution, even after a short exposure in the embryonic stage.",en,italy,0.624,0.105625,85,90,NA,NA,NA,NA,0,1.5,96,white led,8,24,mm,mm,,V,LRR,NA,NA,Danio rerio,embryo,larvae,activity,,,mixed,lab,lab,27,AW,day,,,,,,,,,,,,
1,journalArticle,2023,"Lucon-Xiccato, Tyrone; De Russi, Gaia; Cannicci, Stefano; Maggi, Elena; Bertolucci, Cristiano",Embryonic exposure to artificial light at night impairs learning abilities and their covariance with behavioural traits in teleost fish,WOS,Biology Letters,10.1098/rsbl.2023.0436,"The natural light cycle has profound effects on animals' cognitive systems. Its alteration owing to human activities, such as artificial light at night (ALAN), affects the biodiversity of mammalian and avian species by impairing their cognitive functions. The impact of ALAN on cognition, however, has not been investigated in aquatic species, in spite of the common occurrence of this pollution along water bodies. We exposed eggs of a teleost fish (the zebrafish Danio rerio ) to ALAN and, upon hatching, we measured larvae’ cognitive abilities with a habituation learning paradigm. Both control and ALAN-exposed larvae showed habituation learning, but the latter learned significantly slower, suggesting that under ALAN conditions, fish require many more events to acquire ecologically relevant information. We also found that individuals' learning performance significantly covaried with two behavioural traits in the control zebrafish, but ALAN disrupted one of these relationships. Additionally, ALAN resulted in an average increase in larval activity. Our results showed that both fish's cognitive abilities and related individual differences are negatively impacted by light pollution, even after a short exposure in the embryonic stage.",en,italy,0.395,0.058564,85,90,NA,NA,NA,NA,0,1.5,96,white led,8,24,mm,mm,,V,LRR,NA,NA,Danio rerio,embryo,larvae,activity,,,mixed,lab,lab,27,AW,day,,,,,,,,,,,,
1,journalArticle,2023,"Lucon-Xiccato, Tyrone; De Russi, Gaia; Cannicci, Stefano; Maggi, Elena; Bertolucci, Cristiano",Embryonic exposure to artificial light at night impairs learning abilities and their covariance with behavioural traits in teleost fish,WOS,Biology Letters,10.1098/rsbl.2023.0436,"The natural light cycle has profound effects on animals' cognitive systems. Its alteration owing to human activities, such as artificial light at night (ALAN), affects the biodiversity of mammalian and avian species by impairing their cognitive functions. The impact of ALAN on cognition, however, has not been investigated in aquatic species, in spite of the common occurrence of this pollution along water bodies. We exposed eggs of a teleost fish (the zebrafish Danio rerio ) to ALAN and, upon hatching, we measured larvae’ cognitive abilities with a habituation learning paradigm. Both control and ALAN-exposed larvae showed habituation learning, but the latter learned significantly slower, suggesting that under ALAN conditions, fish require many more events to acquire ecologically relevant information. We also found that individuals' learning performance significantly covaried with two behavioural traits in the control zebrafish, but ALAN disrupted one of these relationships. Additionally, ALAN resulted in an average increase in larval activity. Our results showed that both fish's cognitive abilities and related individual differences are negatively impacted by light pollution, even after a short exposure in the embryonic stage.",en,italy,0.1073767,0.000580209,85,90,3.954022989,4.4022,0.321837012,0.6888,0,1.5,96,white led,8,24,mm,mm,,V,Hedge's G,NA,NA,Danio rerio,embryo,larvae,startle response,,,mixed,lab,lab,27,AW,day,,,,,,,,,,,,
1,journalArticle,2023,"Lucon-Xiccato, Tyrone; De Russi, Gaia; Cannicci, Stefano; Maggi, Elena; Bertolucci, Cristiano",Embryonic exposure to artificial light at night impairs learning abilities and their covariance with behavioural traits in teleost fish,WOS,Biology Letters,10.1098/rsbl.2023.0436,"The natural light cycle has profound effects on animals' cognitive systems. Its alteration owing to human activities, such as artificial light at night (ALAN), affects the biodiversity of mammalian and avian species by impairing their cognitive functions. The impact of ALAN on cognition, however, has not been investigated in aquatic species, in spite of the common occurrence of this pollution along water bodies. We exposed eggs of a teleost fish (the zebrafish Danio rerio ) to ALAN and, upon hatching, we measured larvae’ cognitive abilities with a habituation learning paradigm. Both control and ALAN-exposed larvae showed habituation learning, but the latter learned significantly slower, suggesting that under ALAN conditions, fish require many more events to acquire ecologically relevant information. We also found that individuals' learning performance significantly covaried with two behavioural traits in the control zebrafish, but ALAN disrupted one of these relationships. Additionally, ALAN resulted in an average increase in larval activity. Our results showed that both fish's cognitive abilities and related individual differences are negatively impacted by light pollution, even after a short exposure in the embryonic stage.",en,italy,,,85,90,,,,,0,1.5,96,white led,8,24,proportion index,proportion index,,V,,NA,NA,Danio rerio,embryo,larvae,habituation learning,,,mixed,lab,lab,27,AW,day,,,,,,,,,,,,
2,journalArticle,2004,"Tabor, Roger A.; Brown, Gayle S.; Luiting, Victoria T.","The Effect of Light Intensity on Sockeye Salmon Fry Migratory Behavior and Predation by Cottids in the Cedar River, Washington",WOS,North American Journal of Fisheries Management,10.1577/M02-095,"We examined the relationship between light intensity, migratory behavior of sockeye salmon Oncorhynchus nerka fry, and predation by cottids Cottus spp. We tested the hypothesis that above-natural intensities of nighttime light would increase cottid predation of sockeye salmon fry. In circular tank experiments under controlled laboratory conditions, we tested the ability of cottids to prey on sockeye salmon fry under six different light intensities using minimal water circulation to separate the effect of the migratory behavior of fry from the ability of cottids to capture them. We found that cottids preyed most effectively in complete darkness, whereas the lowest predation occurred at the brightest light intensity. We next tested the predation ability of cottids at four light intensities in a pair of artiﬁcial streams to simulate more natural conditions. In experiments without cottids, the majority of fry passed quickly through the artiﬁcial streams under complete darkness, but as light intensity was increased, fewer fry emigrated and did so at a slower rate. With cottids present and increased light intensity, even fewer fry emigrated but they did so at a faster rate than did those in the stream without cottids. We determined that cottids probably consumed about 5% of the sockeye salmon fry under complete darkness and ate about 45% of the fry at the brightest light intensity tested. In experimental ﬁeld trials, the shoreline abundance of fry and predation by cottids increased as light intensities increased. Using two small lights within an 8-m shoreline section on the Cedar River, Washington, we delayed as many as 550 sockeye salmon fry and observed predation of as many as 7.6 fry/cottid. At the end of the experiment, we turned the lights off and noted that the shoreline abundance of fry declined dramatically. At two locations on the Cedar River lit by city lights, the abundance of sockeye salmon fry and predation by cottids was substantially greater than at nearby sites with low light. Also, we demonstrated at one site that reducing light intensity substantially reduced predation on sockeye salmon fry. Overall, we conclude that increased light intensity appears to slow or stop out-migration of fry, making them more vulnerable to capture by predators such as cottids.",en,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,journalArticle,2024,"Cao, Miao; Xu, Ting; Song, Yiqun; Wei, Sheng; Wang, Huan; Guo, Xueping; Yin, Daqiang",Brominated Flame Retardant HBCD and Artificial Light at Night Synergically Caused Visual Disorder and Sleep Difficulty in Zebrafish Larvae,WOS,Environmental Science & Technology,10.1021/acs.est.4c04342,,en,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,3.54,2.066,78,126,0,22.23,NA,NA,0,20,96,white led,8,24,count,count,,V,LOR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,activity,nocturnal activity,group,mixed,wild,wild,,BW,night,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,3.77,2.059,78,126,0,26.82,NA,NA,0,20,192,white led,8,24,count,count,,V,LOR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,activity,nocturnal activity,group,mixed,wild,wild,,BW,night,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,3.81,2.058,78,126,0,27.54,NA,NA,0,20,336,white led,8,24,count,count,,V,LOR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,activity,nocturnal activity,group,mixed,wild,wild,,BW,night,,,,,,,,,,,,
