night,treatment,prop_fish_outside,,,,,,,,,,
0,control,0,,,,,,,,,,
0,control,0,,,,day 4,,,day 8,,,day 14
0,control,0,,,0.693662728,0.131455622,,0.67575188,0.242232572,,0.751664876,0.060683282
0,control,0,,,,,,,,,,
0,control,0,,,,,,,,,,
0,control,0,,,,,,,,,alan,control
0,control,0,,,0.667669173,0.49924812,,0.667669173,1.001503759,,1,0.819548872
4,control,0,,,0.718796992,0.583458647,,0.62406015,0.768421053,,0.712781955,0.8
4,control,0,,,0.739849624,0.616541353,,0.333834586,0.75037594,,0.667669173,0.792481203
4,control,0,,,0.74887218,0.720300752,,0.333834586,0.726315789,,0.640601504,0.778947368
4,control,0,,,0.781954887,0.769924812,,0.762406015,0.666165414,,0.366917293,0.718796992
4,control,0,,,0.798496241,0.798496241,,0.786466165,0.586466165,,0.311278195,0.685714286
4,control,0,,,0.870676692,0.867669173,,0.897744361,0.428571429,,,0.666165414
4,control,0,,,0.893233083,,,1,,,,
8,control,0,,,0.998496241,,,,,,,
8,control,0,,,,,,,,,,
8,control,0,,,,,,,,,,
8,control,0,,,,,,,,,,
8,control,0,,,,,,,,,,
8,control,0,,,,,,,,,,
8,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
14,control,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
0,ALAN,0,,,,,,,,,,
4,ALAN,0,,,,,,,,,,
4,ALAN,0.057,,,,,,,,,,
4,ALAN,0.078,,,,,,,,,,
4,ALAN,0.1,,,,,,,,,,
4,ALAN,1,,,,,,,,,,
4,ALAN,0,,,,,,,,,,
4,ALAN,0,,,,,,,,,,
8,ALAN,0,,,,,,,,,,
8,ALAN,0.06,,,,,,,,,,
8,ALAN,0.07,,,,,,,,,,
8,ALAN,0.08,,,,,,,,,,
8,ALAN,0.21,,,,,,,,,,
8,ALAN,1,,,,,,,,,,
8,ALAN,0.07,,,,,,,,,,
14,ALAN,0,,,,,,,,,,
14,ALAN,0.06,,,,,,,,,,
14,ALAN,0.09,,,,,,,,,,
14,ALAN,0.1,,,,,,,,,,
14,ALAN,0.21,,,,,,,,,,
14,ALAN,1,,,,,,,,,,
14,ALAN,0.07,,,,,,,,,,
