sex,variable,treatment,mean_treatment,sd_treatment,n_treatment,mean_control,sd_control,n_control,yi,vi,comparison
female,activity,Bright,3.3613636363636363,1.2860859436855123,11,3.2473737373737372,0.49119711231086904,11,0.03450014693822138,0.015388064678955295,Bright vs Control
female,activity,Dim,3.0533650793650793,1.1043854532168087,7,3.2473737373737372,0.49119711231086904,11,-0.06160230172442345,0.020768947729118498,Dim vs Control
female,edge.time.perc,Bright,16.198616736363636,6.573456572360555,11,24.309176718181817,7.157444546760761,11,-0.405928069832497,0.022851621307418718,Bright vs Control
female,edge.time.perc,Dim,24.457202157142856,15.600140832394754,7,24.309176718181817,7.157444546760761,11,0.0060708175179533036,0.06600368261034992,Dim vs Control
female,emergence.time,Bright,44.027272727272724,40.62255754895526,11,226.84545454545454,117.37743704508429,11,-1.6394596920290905,0.10173215833540264,Bright vs Control
female,emergence.time,Dim,150.57142857142858,129.89007806969855,7,226.84545454545454,117.37743704508429,11,-0.4098313885939089,0.1306484576995714,Dim vs Control
male,activity,Bright,2.585490740740741,0.7427877608001247,12,2.4630617283950618,0.7678617780691253,9,0.04851015051783212,0.017676739237965342,Bright vs Control
male,activity,Dim,2.622076388888889,0.8236671935804678,12,2.4630617283950618,0.7678617780691253,9,0.06256133763791451,0.019021762872400365,Dim vs Control
male,edge.time.perc,Bright,14.110346875925925,5.083412806046707,12,24.227485555555557,6.994395173129287,9,-0.5405794061692186,0.020076330355798755,Bright vs Control
male,edge.time.perc,Dim,18.5285115,9.443074277201648,12,24.227485555555557,6.994395173129287,9,-0.2681770475512139,0.03090598736939896,Dim vs Control
male,emergence.time,Bright,36.790740740740745,56.48670906977904,12,151.13333333333333,110.3329166658799,9,-1.4129162461955753,0.25565905435351555,Bright vs Control
male,emergence.time,Dim,112.44166666666668,134.1743604983885,12,151.13333333333333,110.3329166658799,9,-0.2957278807565775,0.17787681173500375,Dim vs Control
