fish.identity,sex,size,trial,tank,treatment,emergence.time,activity,decision.time,side.companions,side.chosen,decision.correct,time.with.companions,time.with.companions.binary,edge.time.perc
1,male,16.7,1,1,Bright,NA,NA,147,right,left,0,NA,NA,NA
1,male,16.7,2,1,Bright,3,4.38,95,right,right,1,60,1,14.465431
1,male,16.7,3,1,Bright,3,2.70,109,right,left,0,60,1,3.44828
1,male,16.7,4,1,Bright,7,2.63,86,right,right,1,13,0,12.18014
1,male,16.7,5,1,Bright,6,2.77,77,right,left,0,28,0,18.62066
1,male,16.7,6,1,Bright,32,1.98,129,right,left,0,60,1,19.802
1,male,16.7,7,1,Bright,3,2.17,134,right,right,1,60,1,0
1,male,16.7,8,1,Bright,4,2.01,101,right,right,1,29,0,3.52113
1,male,16.7,9,1,Bright,2,1.60,137,right,right,1,25,0,0
1,male,16.7,10,1,Bright,11,2.25,85,right,left,0,22,0,31.4035
2,female,21.6,1,1,Bright,10,4.08,77,right,left,0,NA,NA,10.8696
2,female,21.6,2,1,Bright,1,4.09,12,right,right,1,47,0,13.3333
2,female,21.6,3,1,Bright,19,2.95,41,right,left,0,57,0,32.4324
2,female,21.6,4,1,Bright,3,2.34,51,right,right,1,60,1,5.30303
2,female,21.6,5,1,Bright,8,2.08,58,right,right,1,59,0,13.38028
2,female,21.6,6,1,Bright,5,2.76,61,right,right,1,60,1,15.7143
2,female,21.6,7,1,Bright,7,2.69,67,right,right,1,35,0,22.20278
2,female,21.6,8,1,Bright,3,4.23,43,right,left,0,45,0,24.1877
2,female,21.6,9,1,Bright,19,2.67,78,right,right,1,60,1,14.45785
2,female,21.6,10,1,Bright,4,2.85,73,right,right,1,60,1,4.96014
3,female,23.8,1,1,Bright,69,2.31,85,right,right,1,60,1,6.20689
3,female,23.8,2,1,Bright,186,1.41,102,right,right,1,60,1,8.10811
3,female,23.8,3,1,Bright,106,2.79,113,right,right,1,60,1,8.78379
3,female,23.8,4,1,Bright,29,3.31,89,right,right,1,60,1,10.7843
3,female,23.8,5,1,Bright,15,3.76,71,right,right,1,17,0,7.94297
3,female,23.8,6,1,Bright,29,3.40,51,right,right,1,36,0,16.129
3,female,23.8,7,1,Bright,45,4.79,73,right,right,1,60,1,13.849264
3,female,23.8,8,1,Bright,76,3.38,38,right,right,1,17,0,11.4583
3,female,23.8,9,1,Bright,56,3.84,47,right,right,1,60,1,9.63856
3,female,23.8,10,1,Bright,407,3.39,76,right,right,1,10,0,21.37932
5,male,17.8,1,1,Bright,47,2.23,67,right,right,1,60,1,1.36986
5,male,17.8,2,1,Bright,19,2.55,53,right,left,0,60,1,7.35294
5,male,17.8,3,1,Bright,117,3.55,72,right,right,1,60,1,17.8082
5,male,17.8,4,1,Bright,40,3.15,61,right,right,1,60,1,15.5556
5,male,17.8,5,1,Bright,47,3.32,101,right,right,1,60,1,9.85916
5,male,17.8,6,1,Bright,97,1.81,205,right,right,1,60,1,0
5,male,17.8,7,1,Bright,31,2.45,126,right,left,0,60,1,10.55556
5,male,17.8,8,1,Bright,35,2.78,50,right,right,1,60,1,13.4615
5,male,17.8,9,1,Bright,32,2.69,135,right,right,1,60,1,8.85827
5,male,17.8,10,1,Bright,13,2.71,196,right,left,0,39,0,2.5641
6,male,17.1,1,1,Bright,16,3.84,105,right,right,1,60,1,13.28671
6,male,17.1,2,1,Bright,20,2.97,60,right,right,1,60,1,18.8811
6,male,17.1,3,1,Bright,102,2.71,24,right,right,1,60,1,23.4043
