dumyID_EachDay_EachLight,trailID,lightWavelength,behaviorType,day,value
1,365nm_1_1,365nm,Time_In_Thigmotaxis_Zone,1,321.09
1,365nm_2_1,365nm,Time_In_Thigmotaxis_Zone,2,316.32
1,365nm_3_1,365nm,Time_In_Thigmotaxis_Zone,3,311.22
1,365nm_4_1,365nm,Time_In_Thigmotaxis_Zone,4,302.32
1,365nm_5_1,365nm,Time_In_Thigmotaxis_Zone,5,435.65
1,365nm_6_1,365nm,Time_In_Thigmotaxis_Zone,6,512.32
1,365nm_7_1,365nm,Time_In_Thigmotaxis_Zone,7,507.86
1,365nm_8_1,365nm,Time_In_Thigmotaxis_Zone,8,519.65
1,365nm_9_1,365nm,Time_In_Thigmotaxis_Zone,9,509.66
1,365nm_10_1,365nm,Time_In_Thigmotaxis_Zone,10,526.46
2,365nm_1_1,365nm,Time_In_Thigmotaxis_Zone,1,311.07
2,365nm_2_1,365nm,Time_In_Thigmotaxis_Zone,2,356.32
2,365nm_3_1,365nm,Time_In_Thigmotaxis_Zone,3,302.32
2,365nm_4_1,365nm,Time_In_Thigmotaxis_Zone,4,315.22
2,365nm_5_1,365nm,Time_In_Thigmotaxis_Zone,5,455.12
2,365nm_6_1,365nm,Time_In_Thigmotaxis_Zone,6,503.22
2,365nm_7_1,365nm,Time_In_Thigmotaxis_Zone,7,512.32
2,365nm_8_1,365nm,Time_In_Thigmotaxis_Zone,8,503.32
2,365nm_9_1,365nm,Time_In_Thigmotaxis_Zone,9,523.44
2,365nm_10_1,365nm,Time_In_Thigmotaxis_Zone,10,513.32
3,365nm_1_1,365nm,Time_In_Thigmotaxis_Zone,1,323.67
3,365nm_2_1,365nm,Time_In_Thigmotaxis_Zone,2,311.52
3,365nm_3_1,365nm,Time_In_Thigmotaxis_Zone,3,341.32
3,365nm_4_1,365nm,Time_In_Thigmotaxis_Zone,4,325.33
3,365nm_5_1,365nm,Time_In_Thigmotaxis_Zone,5,426.32
3,365nm_6_1,365nm,Time_In_Thigmotaxis_Zone,6,505.36
3,365nm_7_1,365nm,Time_In_Thigmotaxis_Zone,7,522.32
3,365nm_8_1,365nm,Time_In_Thigmotaxis_Zone,8,532.69
3,365nm_9_1,365nm,Time_In_Thigmotaxis_Zone,9,526.35
3,365nm_10_1,365nm,Time_In_Thigmotaxis_Zone,10,524.36
4,365nm_1_1,365nm,Time_In_Thigmotaxis_Zone,1,312.46
4,365nm_2_1,365nm,Time_In_Thigmotaxis_Zone,2,340.23
4,365nm_3_1,365nm,Time_In_Thigmotaxis_Zone,3,305.21
4,365nm_4_1,365nm,Time_In_Thigmotaxis_Zone,4,326.56
4,365nm_5_1,365nm,Time_In_Thigmotaxis_Zone,5,405.32
4,365nm_6_1,365nm,Time_In_Thigmotaxis_Zone,6,508.36
4,365nm_7_1,365nm,Time_In_Thigmotaxis_Zone,7,506.34
4,365nm_8_1,365nm,Time_In_Thigmotaxis_Zone,8,518.65
4,365nm_9_1,365nm,Time_In_Thigmotaxis_Zone,9,527.99
4,365nm_10_1,365nm,Time_In_Thigmotaxis_Zone,10,532.64
5,365nm_1_1,365nm,Time_In_Thigmotaxis_Zone,1,311.06
5,365nm_2_1,365nm,Time_In_Thigmotaxis_Zone,2,320.02
5,365nm_3_1,365nm,Time_In_Thigmotaxis_Zone,3,305.44
5,365nm_4_1,365nm,Time_In_Thigmotaxis_Zone,4,315.65
5,365nm_5_1,365nm,Time_In_Thigmotaxis_Zone,5,423.32
5,365nm_6_1,365nm,Time_In_Thigmotaxis_Zone,6,519.32
5,365nm_7_1,365nm,Time_In_Thigmotaxis_Zone,7,512.32
5,365nm_8_1,365nm,Time_In_Thigmotaxis_Zone,8,513.62
5,365nm_9_1,365nm,Time_In_Thigmotaxis_Zone,9,506.32
5,365nm_10_1,365nm,Time_In_Thigmotaxis_Zone,10,521.32
6,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,324.76
6,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,319.66
6,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,312.22
6,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,324.15
6,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,425.35
6,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,506.32
6,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,506.32
6,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,506.69
6,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,519.32
6,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,521.3
7,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,321.09
7,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,312.56
7,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,305.66
7,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,365
7,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,432.35
7,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,507.88
7,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,519.66
7,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,548.65
7,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,526.36
7,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,522.36
8,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,330
8,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,312.32
8,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,307.46
8,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,316.23
8,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,425.32
8,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,513.66
8,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,518.43
8,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,531.62
8,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,534.26
8,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,513.66
9,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,312.46
9,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,311.25
9,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,351.32
9,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,325.65
9,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,406.32
9,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,524.35
9,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,512.62
9,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,509.65
9,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,512.32
9,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,519.25
10,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,324.43
10,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,302.65
10,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,342.65
10,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,324.45
10,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,425.32
10,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,524.75
10,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,508.54
10,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,508.63
10,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,549.65
