"individualAdultID","lightWavelength","behaviorType","day","Value"
"1","365nm","Time_In_Thigmotaxis_Zone",1,348.28
"1","365nm","Time_In_Thigmotaxis_Zone",2,382.08
"1","365nm","Time_In_Thigmotaxis_Zone",3,380.48
"1","365nm","Time_In_Thigmotaxis_Zone",4,351.24
"1","365nm","Time_In_Thigmotaxis_Zone",5,500.13
"1","365nm","Time_In_Thigmotaxis_Zone",6,491.08
"1","365nm","Time_In_Thigmotaxis_Zone",7,509.04
"1","365nm","Time_In_Thigmotaxis_Zone",8,491.48
"1","365nm","Time_In_Thigmotaxis_Zone",9,533.92
"1","365nm","Time_In_Thigmotaxis_Zone",10,517.11
"2","365nm","Time_In_Thigmotaxis_Zone",1,337.72
"2","365nm","Time_In_Thigmotaxis_Zone",2,379.78
"2","365nm","Time_In_Thigmotaxis_Zone",3,388.06
"2","365nm","Time_In_Thigmotaxis_Zone",4,383.28
"2","365nm","Time_In_Thigmotaxis_Zone",5,523.44
"2","365nm","Time_In_Thigmotaxis_Zone",6,513.68
"2","365nm","Time_In_Thigmotaxis_Zone",7,538.96
"2","365nm","Time_In_Thigmotaxis_Zone",8,507.76
"2","365nm","Time_In_Thigmotaxis_Zone",9,539.24
"2","365nm","Time_In_Thigmotaxis_Zone",10,522.17
"3","365nm","Time_In_Thigmotaxis_Zone",1,369.74
"3","365nm","Time_In_Thigmotaxis_Zone",2,369.54
"3","365nm","Time_In_Thigmotaxis_Zone",3,363.36
"3","365nm","Time_In_Thigmotaxis_Zone",4,355.8
"3","365nm","Time_In_Thigmotaxis_Zone",5,540
"3","365nm","Time_In_Thigmotaxis_Zone",6,504.2
"3","365nm","Time_In_Thigmotaxis_Zone",7,501.8
"3","365nm","Time_In_Thigmotaxis_Zone",8,497.76
"3","365nm","Time_In_Thigmotaxis_Zone",9,490.6
"3","365nm","Time_In_Thigmotaxis_Zone",10,532.14
"4","365nm","Time_In_Thigmotaxis_Zone",1,372.48
"4","365nm","Time_In_Thigmotaxis_Zone",2,382.21
"4","365nm","Time_In_Thigmotaxis_Zone",3,336.92
"4","365nm","Time_In_Thigmotaxis_Zone",4,389.96
"4","365nm","Time_In_Thigmotaxis_Zone",5,568.4
"4","365nm","Time_In_Thigmotaxis_Zone",6,512.32
"4","365nm","Time_In_Thigmotaxis_Zone",7,561.24
"4","365nm","Time_In_Thigmotaxis_Zone",8,462.12
"4","365nm","Time_In_Thigmotaxis_Zone",9,543.24
