wavelength,behaviorType,day,mean_treatment,sd_treatment,n_treatment,lightWavelength,mean_control,sd_control,n_control,yi,vi,Study_ID
white,Distance,1,3848.088,184.43106672761434,15,dark,4380.472666666667,351.21991078986116,15,-0.12958023176521763,5.817126255759398e-4,Zebrafish_wavelength_study
white,Distance,2,3692.576666666667,354.4038561678846,15,dark,4363.193333333334,234.46941109256719,15,-0.16687970716210257,8.066289612738096e-4,Zebrafish_wavelength_study
white,Distance,3,3830.8953333333334,319.2505245071575,15,dark,4294.291333333334,306.2102937260756,15,-0.11418799939548128,8.019629363515989e-4,Zebrafish_wavelength_study
white,Distance,4,3720.9546666666665,358.8914180175762,15,dark,4176.969333333333,161.64720109223163,15,-0.11560567751036153,7.20036089200127e-4,Zebrafish_wavelength_study
white,Distance,5,2425.364666666667,317.4204939793511,15,dark,4167.224,127.69351280088016,15,-0.5412682156043943,0.0012044876861039095,Zebrafish_wavelength_study
white,Distance,6,2226.65,354.093515654511,15,dark,4161.342,142.9954599778807,15,-0.6253394045815751,0.0017646550390943685,Zebrafish_wavelength_study
white,Distance,7,2388.342666666667,179.46451883576427,15,dark,4167.759333333333,228.4445559013222,15,-0.5567788807713026,5.767126682431307e-4,Zebrafish_wavelength_study
white,Distance,8,1132.04,276.328674071812,15,dark,4247.125466666666,377.6619589144818,15,-1.3222210784711208,0.004499393701427253,Zebrafish_wavelength_study
white,Distance,9,526.208,148.62986044918046,15,dark,4038.162,305.1266017620506,15,-2.037848345103412,0.005699334636125721,Zebrafish_wavelength_study
white,Distance,10,564.2233333333334,422.68636842507823,15,dark,4178.118,431.65790588977137,15,-2.0021660306905256,0.03812636014891088,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,1,329.00666666666666,21.317557038629875,15,dark,321.31,21.77561086563196,15,0.02367162478657007,5.860785260132371e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,2,336.234,16.424013255857155,15,dark,332.68533333333335,19.50672296805337,15,0.01061024784721753,3.8826605272140554e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,3,320.34133333333335,18.80525909217445,15,dark,337.9313333333333,18.173143790717532,15,-0.05345562504976984,4.2254472528430805e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,4,320.77733333333333,19.225891941659842,15,dark,321.51533333333333,17.54169069334403,15,-0.002298018841176452,4.3793153503695606e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,5,314.89,8.862444035688695,15,dark,310.0833333333333,8.761074352470928,15,0.015382292931068912,1.0602678228894305e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,6,321.47133333333335,19.75954195054222,15,dark,310.378,9.400143008030698,15,0.03511746482298681,3.1302080117745794e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,7,323.594,14.948510580369819,15,dark,318.8213333333333,12.214855046603036,15,0.014858781318423265,2.4012354797172335e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,8,507.01866666666666,7.0752848167473275,15,dark,321.764,17.937346037169018,15,0.4547294632232666,2.2016334767230983e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,9,511.47533333333337,10.734252829588272,15,dark,336.33733333333333,15.415326078135301,15,0.4191847354734932,1.6940701645280532e-4,Zebrafish_wavelength_study
white,Time_In_Thigmotaxis_Zone,10,512.2213333333333,9.736005976834265,15,dark,329.50533333333334,10.192534289277395,15,0.44116428334286656,8.787482182809156e-5,Zebrafish_wavelength_study
365nm,Distance,1,3810.918,411.7159593908679,15,dark,4380.472666666667,351.21991078986116,15,-0.13928652833211153,0.0012066902965370764,Zebrafish_wavelength_study
365nm,Distance,2,3768.05,464.9062172862701,15,dark,4363.193333333334,234.46941109256719,15,-0.1466465789123073,0.0012073783854593932,Zebrafish_wavelength_study
365nm,Distance,3,3889.8838,441.2054824594933,15,dark,4294.291333333334,306.2102937260756,15,-0.09890725804388378,0.001196637359803491,Zebrafish_wavelength_study
365nm,Distance,4,3894.8113333333336,313.6154268223303,15,dark,4176.969333333333,161.64720109223163,15,-0.0699407037147788,5.320898762295308e-4,Zebrafish_wavelength_study
365nm,Distance,5,1578.32,626.9329405013859,15,dark,4167.224,127.69351280088016,15,-0.9708891164904977,0.010581266147915836,Zebrafish_wavelength_study
