Subject_ID,Replicate,Treatment,Time,Distance_moved
C01.001,01,Control,1,113.058
C01.001,01,Control,2,0
C01.001,01,Control,3,0
C01.001,01,Control,4,0
C01.001,01,Control,5,0
C01.001,01,Control,6,0
C01.001,01,Control,7,0
C01.001,01,Control,8,0
C01.001,01,Control,9,0
C01.001,01,Control,10,0
C01.001,01,Control,11,5.56005
C01.001,01,Control,12,7.23389
C01.001,01,Control,13,0
C01.001,01,Control,14,11.7726
C01.001,01,Control,15,0
C01.001,01,Control,16,0
C01.001,01,Control,17,0
C01.001,01,Control,18,0
C01.001,01,Control,19,0
C01.001,01,Control,20,0
C01.001,01,Control,21,0
C01.001,01,Control,22,0
C01.001,01,Control,23,0
C01.001,01,Control,24,0
C01.001,01,Control,25,0
C01.001,01,Control,26,0
C01.001,01,Control,27,0
C01.001,01,Control,28,0
C01.001,01,Control,29,0
C01.001,01,Control,30,0
C01.001,01,Control,31,0
C01.001,01,Control,32,0
C01.001,01,Control,33,0
C01.001,01,Control,34,0
C01.001,01,Control,35,0
C01.001,01,Control,36,0
C01.001,01,Control,37,0
C01.001,01,Control,38,0
C01.001,01,Control,39,0
C01.001,01,Control,40,0
C01.001,01,Control,41,0
C01.001,01,Control,42,0
C01.001,01,Control,43,12.9367
C01.001,01,Control,44,0
C01.001,01,Control,45,0
C01.001,01,Control,46,0
C01.001,01,Control,47,0
C01.001,01,Control,48,0
C01.001,01,Control,49,0
C01.001,01,Control,50,0.250467
C01.001,01,Control,51,0
C01.001,01,Control,52,0
C01.001,01,Control,53,0
C01.001,01,Control,54,0
C01.001,01,Control,55,0
C01.001,01,Control,56,0
C01.001,01,Control,57,0
C01.001,01,Control,58,0
C01.001,01,Control,59,0
C01.001,01,Control,60,0
C01.002,01,Control,1,254.087
C01.002,01,Control,2,264.635
C01.002,01,Control,3,206.001
C01.002,01,Control,4,299.302
C01.002,01,Control,5,295.051
C01.002,01,Control,6,226.306
C01.002,01,Control,7,198.422
C01.002,01,Control,8,139.226
C01.002,01,Control,9,150.744
C01.002,01,Control,10,170.75
C01.002,01,Control,11,173.376
C01.002,01,Control,12,171.681
C01.002,01,Control,13,169.712
C01.002,01,Control,14,137.147
C01.002,01,Control,15,114.333
C01.002,01,Control,16,99.077
C01.002,01,Control,17,56.6489
C01.002,01,Control,18,0
C01.002,01,Control,19,0
C01.002,01,Control,20,0
C01.002,01,Control,21,0
C01.002,01,Control,22,0
C01.002,01,Control,23,0
C01.002,01,Control,24,0
C01.002,01,Control,25,0
C01.002,01,Control,26,0
C01.002,01,Control,27,0
C01.002,01,Control,28,0
C01.002,01,Control,29,0
C01.002,01,Control,30,0
C01.002,01,Control,31,0
C01.002,01,Control,32,0
C01.002,01,Control,33,0
C01.002,01,Control,34,0
C01.002,01,Control,35,0
C01.002,01,Control,36,0
C01.002,01,Control,37,0
C01.002,01,Control,38,0
C01.002,01,Control,39,0
C01.002,01,Control,40,7.4075
C01.002,01,Control,41,0
C01.002,01,Control,42,0
C01.002,01,Control,43,0
C01.002,01,Control,44,0
C01.002,01,Control,45,0
C01.002,01,Control,46,0
C01.002,01,Control,47,4.78857
C01.002,01,Control,48,0.961864
C01.002,01,Control,49,1.27856
C01.002,01,Control,50,0
C01.002,01,Control,51,0.417405
C01.002,01,Control,52,0.94428
C01.002,01,Control,53,0
C01.002,01,Control,54,0.416477
C01.002,01,Control,55,2.1554
C01.002,01,Control,56,0.826673
C01.002,01,Control,57,3.1604
C01.002,01,Control,58,0
C01.002,01,Control,59,3.48521
C01.002,01,Control,60,0.619406
C01.003,01,Control,1,38.1493
C01.003,01,Control,2,0
C01.003,01,Control,3,0
C01.003,01,Control,4,0
C01.003,01,Control,5,0
C01.003,01,Control,6,7.76771
C01.003,01,Control,7,0
C01.003,01,Control,8,0
C01.003,01,Control,9,0
C01.003,01,Control,10,0
C01.003,01,Control,11,0
C01.003,01,Control,12,0
C01.003,01,Control,13,0
C01.003,01,Control,14,0
C01.003,01,Control,15,0
C01.003,01,Control,16,0
C01.003,01,Control,17,0
C01.003,01,Control,18,0
C01.003,01,Control,19,0
C01.003,01,Control,20,0
C01.003,01,Control,21,0
C01.003,01,Control,22,0
C01.003,01,Control,23,0
C01.003,01,Control,24,0
C01.003,01,Control,25,0
C01.003,01,Control,26,0
C01.003,01,Control,27,0
C01.003,01,Control,28,0
C01.003,01,Control,29,0
C01.003,01,Control,30,0
C01.003,01,Control,31,0
C01.003,01,Control,32,0
C01.003,01,Control,33,0
C01.003,01,Control,34,0
C01.003,01,Control,35,0
C01.003,01,Control,36,0
C01.003,01,Control,37,0
C01.003,01,Control,38,0
C01.003,01,Control,39,0
C01.003,01,Control,40,0
C01.003,01,Control,41,0
C01.003,01,Control,42,0
C01.003,01,Control,43,0
C01.003,01,Control,44,0
C01.003,01,Control,45,0
C01.003,01,Control,46,0
C01.003,01,Control,47,0
C01.003,01,Control,48,0
C01.003,01,Control,49,0
C01.003,01,Control,50,0
C01.003,01,Control,51,0
C01.003,01,Control,52,0
C01.003,01,Control,53,0
C01.003,01,Control,54,0
C01.003,01,Control,55,0
C01.003,01,Control,56,0
C01.003,01,Control,57,0
C01.003,01,Control,58,0
C01.003,01,Control,59,0
C01.003,01,Control,60,0
C01.004,01,Control,1,0
C01.004,01,Control,2,0
C01.004,01,Control,3,0.495855
C01.004,01,Control,4,0.403335
C01.004,01,Control,5,0.463126
C01.004,01,Control,6,0.913891
C01.004,01,Control,7,0
C01.004,01,Control,8,2.78793
C01.004,01,Control,9,6.07841
C01.004,01,Control,10,3.40526
C01.004,01,Control,11,0.872883
C01.004,01,Control,12,6.90454
C01.004,01,Control,13,3.83345
C01.004,01,Control,14,5.74023
C01.004,01,Control,15,7.28302
C01.004,01,Control,16,1.48332
C01.004,01,Control,17,2.47458
C01.004,01,Control,18,0
C01.004,01,Control,19,2.82536
C01.004,01,Control,20,8.00354
C01.004,01,Control,21,12.8682
C01.004,01,Control,22,12.6325
C01.004,01,Control,23,1.62513
C01.004,01,Control,24,2.47253
C01.004,01,Control,25,3.94042
C01.004,01,Control,26,1.32543
C01.004,01,Control,27,12.713
C01.004,01,Control,28,15.6232
C01.004,01,Control,29,15.2799
C01.004,01,Control,30,13.3104
C01.004,01,Control,31,12.6841
C01.004,01,Control,32,15.3002
C01.004,01,Control,33,14.882
C01.004,01,Control,34,18.6988
C01.004,01,Control,35,14.1733
C01.004,01,Control,36,29.8824
C01.004,01,Control,37,28.1268
C01.004,01,Control,38,34.0216
C01.004,01,Control,39,13.6075
C01.004,01,Control,40,33.3654
C01.004,01,Control,41,30.9795
C01.004,01,Control,42,22.904
C01.004,01,Control,43,22.439
C01.004,01,Control,44,19.7418
C01.004,01,Control,45,25.4467
C01.004,01,Control,46,19.6698
C01.004,01,Control,47,27.8024
C01.004,01,Control,48,37.49
C01.004,01,Control,49,41.614
C01.004,01,Control,50,41.4415
C01.004,01,Control,51,37.3709
C01.004,01,Control,52,42.0361
C01.004,01,Control,53,29.3164
C01.004,01,Control,54,19.2828
C01.004,01,Control,55,16.0688
C01.004,01,Control,56,8.16805
C01.004,01,Control,57,3.58187
C01.004,01,Control,58,11.818
C01.004,01,Control,59,2.62108
C01.004,01,Control,60,9.74874
A01.005,01,ALAN,1,38.1524
A01.005,01,ALAN,2,0
A01.005,01,ALAN,3,0
A01.005,01,ALAN,4,0
A01.005,01,ALAN,5,0
A01.005,01,ALAN,6,0
A01.005,01,ALAN,7,0
A01.005,01,ALAN,8,0
A01.005,01,ALAN,9,0
A01.005,01,ALAN,10,0
A01.005,01,ALAN,11,0
A01.005,01,ALAN,12,0
A01.005,01,ALAN,13,0
A01.005,01,ALAN,14,0
A01.005,01,ALAN,15,0.68801
A01.005,01,ALAN,16,1.27505
A01.005,01,ALAN,17,0
A01.005,01,ALAN,18,0
A01.005,01,ALAN,19,0
A01.005,01,ALAN,20,0
A01.005,01,ALAN,21,0
A01.005,01,ALAN,22,0
A01.005,01,ALAN,23,0
A01.005,01,ALAN,24,0
A01.005,01,ALAN,25,0
A01.005,01,ALAN,26,0
A01.005,01,ALAN,27,0
A01.005,01,ALAN,28,0.818609
A01.005,01,ALAN,29,0.412391
A01.005,01,ALAN,30,0
A01.005,01,ALAN,31,0.402746
A01.005,01,ALAN,32,0.432214
A01.005,01,ALAN,33,0
A01.005,01,ALAN,34,0
A01.005,01,ALAN,35,0
A01.005,01,ALAN,36,0
A01.005,01,ALAN,37,0
A01.005,01,ALAN,38,0
A01.005,01,ALAN,39,0
A01.005,01,ALAN,40,0
A01.005,01,ALAN,41,0
A01.005,01,ALAN,42,0
A01.005,01,ALAN,43,0
A01.005,01,ALAN,44,0
A01.005,01,ALAN,45,0
A01.005,01,ALAN,46,0
A01.005,01,ALAN,47,0
A01.005,01,ALAN,48,0
A01.005,01,ALAN,49,0
