Subject_ID,Replicate,Treatment,Stimulation,Index
C01.001,01,Control,1,-1
C01.001,01,Control,2,-1
C01.001,01,Control,3,-1
C01.001,01,Control,4,-1
C01.001,01,Control,5,-1
C01.001,01,Control,6,-1
C01.001,01,Control,7,-1
C01.001,01,Control,8,-1
C01.001,01,Control,9,-1
C01.001,01,Control,10,-1
C01.001,01,Control,11,-1
C01.001,01,Control,12,-1
C01.001,01,Control,13,-1
C01.001,01,Control,14,-1
C01.001,01,Control,15,-1
C01.001,01,Control,16,-1
C01.001,01,Control,17,-1
C01.001,01,Control,18,-1
C01.001,01,Control,19,-1
C01.001,01,Control,20,-1
C01.001,01,Control,21,-1
C01.001,01,Control,22,-1
C01.001,01,Control,23,-1
C01.001,01,Control,24,-1
C01.001,01,Control,25,-1
C01.004,01,Control,1,0.3568364
C01.004,01,Control,2,0.03696528
C01.004,01,Control,3,-1
C01.004,01,Control,4,-0.675972416
C01.004,01,Control,5,-1
C01.004,01,Control,6,-1
C01.004,01,Control,7,-1
C01.004,01,Control,8,-1
C01.004,01,Control,9,-1
C01.004,01,Control,10,-1
C01.004,01,Control,11,-1
C01.004,01,Control,12,-1
C01.004,01,Control,13,-0.677229552
C01.004,01,Control,14,-0.3623748
C01.004,01,Control,15,-0.616953987
C01.004,01,Control,16,-0.680501759
C01.004,01,Control,17,-1
C01.004,01,Control,18,-1
C01.004,01,Control,19,-0.694086742
C01.004,01,Control,20,-0.623664293
C01.004,01,Control,21,-1
C01.004,01,Control,22,-1
C01.004,01,Control,23,-1
C01.004,01,Control,24,-1
C01.004,01,Control,25,-1
A01.006,01,ALAN,1,-0.879621987
A01.006,01,ALAN,2,0.039878912
A01.006,01,ALAN,3,-0.012468467
A01.006,01,ALAN,4,-0.444318814
A01.006,01,ALAN,5,-0.475323096
A01.006,01,ALAN,6,-0.653651406
A01.006,01,ALAN,7,-0.679615519
A01.006,01,ALAN,8,0.052872612
A01.006,01,ALAN,9,-0.86571107
A01.006,01,ALAN,10,-0.943571068
A01.006,01,ALAN,11,-0.539417069
A01.006,01,ALAN,12,-1
A01.006,01,ALAN,13,-0.823285424
A01.006,01,ALAN,14,-0.946442515
A01.006,01,ALAN,15,-1
A01.006,01,ALAN,16,-1
A01.006,01,ALAN,17,-1
A01.006,01,ALAN,18,-1
A01.006,01,ALAN,19,-1
A01.006,01,ALAN,20,-1
A01.006,01,ALAN,21,-1
A01.006,01,ALAN,22,-0.892269758
A01.006,01,ALAN,23,-1
A01.006,01,ALAN,24,-1
A01.006,01,ALAN,25,-1
